Baseline check,,dilution x 100,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
549.9841309,0.0001973217877,549.9841309,0.0005601969897,
549.0092773,0.0001793491247,549.0092773,0.0003399640264,
547.9968872,-8.060142864E-005,547.9968872,0.0003870122891,
546.9841919,0.0001459696214,546.9841919,0.0004891059361,
546.0087891,0.0001620505063,546.0087891,0.0006531797699,
544.9955444,0.0001591502078,544.9955444,0.0005967189209,
543.9821777,6.655792095E-005,543.9821777,0.0003765451838,
543.0059814,0.0001170980177,543.0059814,0.0006113648415,
541.9921265,0.000128206244,541.9921265,0.0006374695222,
541.015564,-3.748126619E-005,541.015564,0.0004738421994,
540.0012817,3.934845518E-005,540.0012817,0.0005971596111,
538.9865723,-7.43381388E-005,538.9865723,0.0002943973232,
538.0093384,4.957445708E-005,538.0093384,0.0002748147235,
536.9943237,7.968432328E-005,536.9943237,0.0004562986142,
536.0166626,0.0001030901622,536.0166626,0.0005206976202,
535.0011597,-0.0001285306935,535.0011597,0.0004527225974,
533.9853516,0.0001021580465,533.9853516,0.0005746861571,
533.0070801,0.0002527723555,533.0070801,0.0007191377808,
531.9907837,-3.416813342E-005,531.9907837,0.0006134645664,
531.0120239,0.0002200346935,531.0120239,0.0006615535822,
529.9953613,0.0001211632334,529.9953613,0.0006551760016,
529.0161133,0.0002987750631,529.0161133,0.0005780039355,
527.9990234,0.0001187292801,527.9990234,0.0006042880705,
526.9816284,6.707572174E-005,526.9816284,0.0006725201965,
526.00177,0.0001694826205,526.00177,0.0005105900927,
524.9839478,0.0001624389406,524.9839478,0.0006375472876,
524.0036011,0.0001641739509,524.0036011,0.0007302873419,
522.9853516,-7.972805179E-006,522.9853516,0.0006977988523,
522.0045776,-9.193722508E-005,522.0045776,0.0005007419968,
520.9859009,-6.315716746E-005,520.9859009,0.0005182873574,
520.0046387,-2.024235619E-005,520.0046387,0.0005077652168,
518.9855347,0.0001449079427,518.9855347,0.0005429090816,
518.0039063,0.0001494654134,518.0039063,0.0007002879283,
516.9842529,0.0001400915644,516.9842529,0.0006469578366,
516.0021973,0.0001129551674,516.0021973,0.0006825796445,
514.9821777,6.386538007E-005,514.9821777,0.0007281092694,
513.9996948,-4.063906817E-005,513.9996948,0.0005329824635,
513.0170288,0.0003323217388,513.0170288,0.0008514210931,
511.9962463,0.0001512262679,511.9962463,0.0008342512883,
511.0131226,-3.339161412E-005,511.0131226,0.0007901109057,
509.9919739,-2.360736107E-005,509.9919739,0.0008073567296,
509.0084534,-4.923231972E-005,509.0084534,0.0007184636197,
507.9868774,3.99438868E-005,507.9868774,0.0009504330228,
507.0029297,-2.531573955E-005,507.0029297,0.0009802940767,
506.0187378,0.0001330224768,506.0187378,0.001034677029,
504.99646,0.0001002679273,504.99646,0.0009815912927,
504.0118713,-2.692132284E-006,504.0118713,0.001116809319,
502.9891663,0.000228167075,502.9891663,0.001151197939,
502.0041504,0.0001163212291,502.0041504,0.0009487207863,
500.9811096,0.0002112290822,500.9811096,0.001137987245,
499.9956665,0.0001089159268,499.9956665,0.001124984468,
499.0100403,-6.010305879E-005,499.0100403,0.001196672907,
497.9862061,2.070926894E-005,497.9862061,0.001178269507,
497.0001831,7.644799189E-005,497.0001831,0.001150185708,
496.0140076,4.229973274E-005,496.0140076,0.001161190565,
494.989563,3.520634345E-005,494.989563,0.0009404970915,
494.0029602,0.0001671519713,494.0029602,0.001188678085,
493.0160828,8.066817099E-005,493.0160828,0.001261363504,
491.9910583,-0.0001176616715,491.9910583,0.0009901530575,
491.0037842,-7.920384087E-005,491.0037842,0.0008622886962,
490.0163574,9.907690401E-005,490.0163574,0.001187925343,
488.9906921,7.934773748E-005,488.9906921,0.001215180964,
488.0028381,9.946528007E-005,488.0028381,0.001270268345,
487.0147705,0.000193644315,487.0147705,0.00113806501,
485.9884338,8.659719606E-005,485.9884338,0.001006343053,
484.9999695,4.517336492E-005,484.9999695,0.001111151651,
