Rh 110_Etho_ex470nm_55slits_900V_VVOrient,,Rh 110_Etho_ex470nm_55slits_900V_VHOrient1,,Rh 110_Etho_ex470nm_55slits_900V_MAOrient2,,
Wensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
481.9400024,7.812057972,481.9400024,4.332264423,481.9400024,6.050326347,
482.980011,8.500799179,482.980011,4.566555023,482.980011,6.369400978,
484.019989,9.301107407,484.019989,5.300361633,484.019989,7.187539101,
485.0700073,9.895586014,485.0700073,6.114356995,485.0700073,7.947896957,
485.9700012,10.65266418,485.9700012,7.221840858,485.9700012,8.68896389,
487.0100098,12.49829292,487.0100098,7.839150906,487.0100098,9.958089828,
488.0499878,14.52081871,488.0499878,8.819698334,488.0499878,11.39913273,
488.9500122,17.49042702,488.9500122,10.00630188,488.9500122,13.30618858,
490,20.77841759,490,12.18595409,490,15.59128666,
491.0599976,24.48452759,491.0599976,14.75111008,491.0599976,19.05597687,
491.9599915,29.44522667,491.9599915,18.61209297,491.9599915,23.06428146,
493.0299988,35.22041321,493.0299988,22.80215073,493.0299988,26.52913666,
493.9299927,41.82494354,493.9299927,27.43848419,493.9299927,32.29315567,
495,51.28012085,495,32.08095551,495,38.57958603,
496.0599976,61.5490303,496.0599976,39.18045044,496.0599976,46.70177841,
496.9599915,73.38240051,496.9599915,46.2365799,496.9599915,56.23570251,
498.0299988,87.45571899,498.0299988,55.43608856,498.0299988,67.82434845,
498.9299927,106.2885284,498.9299927,64.60876465,498.9299927,79.38019562,
500,125.2542572,500,75.98462677,500,94.14730835,
501.0400085,145.6746521,501.0400085,87.69499207,501.0400085,110.1705322,
501.9400024,167.5540619,501.9400024,101.5215759,501.9400024,127.417099,
502.980011,192.9509735,502.980011,116.3881912,502.980011,145.2140198,
504.019989,223.5324707,504.019989,135.4567871,504.019989,170.5005341,
505.0700073,256.7616882,505.0700073,155.4080353,505.0700073,194.2807007,
505.9700012,287.822937,505.9700012,175.6755371,505.9700012,219.2116852,
507.0100098,318.3040161,507.0100098,194.2519989,507.0100098,242.2495575,
508.0499878,351.8005066,508.0499878,213.605835,508.0499878,270.0429688,
508.9500122,386.3899231,508.9500122,231.7237091,508.9500122,295.9698486,
510,423.0846558,510,255.0062866,510,323.1632996,
511.0400085,458.7316895,511.0400085,273.2815247,511.0400085,345.9089966,
511.9400024,494.1842651,511.9400024,290.3785095,511.9400024,368.1056213,
512.9799805,525.1678467,512.9799805,304.414856,512.9799805,385.8894348,
514.0200195,552.0621338,514.0200195,325.5776978,514.0200195,408.3422546,
515.0700073,569.3790894,515.0700073,337.854126,515.0700073,426.3345642,
515.9699707,594.4802246,515.9699707,348.3329468,515.9699707,440.8300171,
517.0100098,612.8323975,517.0100098,354.1828918,517.0100098,447.811676,
518.9500122,625.1003418,518.0499878,363.0837097,518.0499878,457.6401062,
