R110+Gly_Obs560nm_slitex10em5_780V_VV_Geoffrey,,R110+Gly_Obs560nm_slitex10em5_780V_VH_Geoffrey1,,R110+Gly_Exc470nm_slitex10em5_780V_VV_Geoffrey2,,R110+Gly_Exc470nm_slitex10em5_780V_VH_Geoffrey3,,R110+Gly_Exc470nm_slitex10em5_780V_HV_Geoffrey4,,R110+Gly_Exc470nm_slitex10em5_780V_HH_Geoffrey5,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
402,7.607233047,402,2.65696764,481.9400024,6.006161213,481.9400024,2.837900877,481.9400024,2.412256956,481.9400024,1.533112884,
403.0700073,7.256437778,403.0700073,2.813820839,482.980011,6.246257305,482.980011,3.065746069,482.980011,2.552372932,482.980011,1.497349024,
404,6.960371494,404,2.322383881,484.019989,6.558225155,484.019989,3.334063768,484.019989,2.799766302,484.019989,1.572047353,
405.0700073,7.090289593,405.0700073,2.242913485,485.0700073,7.228918076,485.0700073,3.308552742,485.0700073,2.878545284,485.0700073,1.808160305,
406,6.970493317,406,2.176445246,485.9700012,8.005660057,485.9700012,3.605038404,485.9700012,3.089402199,485.9700012,2.002784491,
407.0700073,7.07170105,407.0700073,2.201586962,487.0100098,9.217506409,487.0100098,3.769180536,487.0100098,3.390185833,487.0100098,2.13871789,
408,7.133005619,408,2.393750191,488.0499878,9.598563194,488.0499878,3.925035238,488.0499878,3.906950951,488.0499878,2.291140795,
409.0700073,7.298304081,409.0700073,2.848762989,488.9500122,10.26915836,488.9500122,4.324501038,488.9500122,4.617210388,488.9500122,2.269479036,
410,7.511586189,410,2.659847975,490,12.43764019,490,4.940882683,490,5.367563725,490,2.393955708,
411.0599976,7.341418266,411.0599976,2.379106045,491.0599976,15.03934479,491.0599976,5.1439147,491.0599976,5.938946724,491.0599976,2.887252331,
411.9599915,7.537377834,411.9599915,2.180833817,491.9599915,17.93114853,491.9599915,5.420236111,491.9599915,6.897838116,491.9599915,3.32537961,
413.0299988,7.533177376,413.0299988,2.190063477,493.0299988,20.24495697,493.0299988,6.375117779,493.0299988,8.289415359,493.0299988,3.685377598,
413.9299927,7.222587109,413.9299927,2.083695173,493.9299927,23.32491112,493.9299927,8.214693069,493.9299927,10.02810383,493.9299927,4.46876955,
415,6.885828972,415,2.164472818,495,27.62958527,495,10.19536781,495,11.46392155,495,5.707062244,
416.0599976,7.506396294,416.0599976,2.342115402,496.0599976,32.91069794,496.0599976,11.68693352,496.0599976,13.77681351,496.0599976,6.716518879,
416.9599915,7.744715691,416.9599915,2.350592852,496.9599915,39.31760025,496.9599915,13.34052467,496.9599915,17.28051186,496.9599915,7.799075603,
418.0299988,7.634651184,418.0299988,2.227359295,498.0299988,46.23704529,498.0299988,15.99001408,498.0299988,21.28721809,498.0299988,9.382940292,
418.9299927,7.458425999,418.9299927,2.093970537,498.9299927,55.59309006,498.9299927,19.983078,498.9299927,25.79348183,498.9299927,11.38654423,
420,7.614177227,420,2.206890583,500,65.6270752,500,24.36023712,500,29.91862488,500,13.40618324,
